ID,TARGET,TEXT,STANCE
2401,深圳禁摩限电,#深圳禁摩限电#关注了下这个话题，看到好多的评论是普通百姓对于懒政暴权的意见，同时有好多五毛在支持，五毛支持我觉的有可能，可是谁在出钱给五毛？,AGAINST
2402,深圳禁摩限电,建议对快递员的三轮车进行规范管理，而不是一刀切的全禁掉。快递垮掉或者成本增加，经济势必会受到影响，最关键，对百姓生活影响太巨大了。建议多调研吧。 ,AGAINST
2403,深圳禁摩限电,#深圳禁摩限电#啥时候把四个轮子的也禁了，那样就没车祸了！,AGAINST
2404,深圳禁摩限电,现今的热点用成语来形容最妥贴不过了，比如说深圳的禁摩限电……削足适履，更热的债转股……刻舟求剑，老先人先知先觉啊 我在#白银路# |兰州·白银...,AGAINST
2405,深圳禁摩限电,绝大部分网友都没了解禁电摩出发点就开始喷…快递公司的电摩备案后是可以使用电摩送快递的！ ,FAVOR
2406,深圳禁摩限电,典型的懒政！穷人才用电动车！他们需要一个快捷便利低成本的交通工具，你可以去规范，你可以去加强管理，但是你这样做让别人底层的百姓更是愤怒你代表的政府！批准该行动的直管领导你肯定不是穷苦出身，体会不到那种生存味道！而且你的执政能力和你的位置不匹配！,AGAINST
2407,深圳禁摩限电,瞎折腾，瞎指挥，瞎了眼！,AGAINST
2408,深圳禁摩限电,车行如龟， 人行如梭， 限电限行鹏城路， 看特区， 决禁意， 可怜草民争无力， 万辆电摩钱变土， 禁，百姓苦， 限，百姓苦。 @深圳交警,AGAINST
2409,深圳禁摩限电,电商和快递代表的新经济打破了传统以地产开发租赁的旧商业模式，也打破了之前的利益权利分配，中央政府借助新经济发展的契机，通过营改增等手段收回地方政府的财权和事权，地方政府也以禁摩等方式进行反抗，本质上是利益和权利之争。中央以地方的博弈，苦逼了快递哥！ ,NONE
2410,深圳禁摩限电,我看过不了几天就有人要将深圳告上法庭了//【深圳禁摩限电对准餐饮业:只可自行车送外卖】 http://t.cn/RqGvKJp,AGAINST
2411,深圳禁摩限电,深圳风光 福田车堵 南山心焦 望北环内外 车流茫茫 银湖上下 汽笛啸啸 路困铁甲 恰似蚂蚁 前方有路无处绕上立交 看南来北往 尚未过桥 交通如此糟糕 引无数英雄竞折腰 叹现代大众 慢如蜗牛 奔驰宝马 无处发飙 一代天骄 兰博基尼 泪看电摩随意超 俱往矣 数风流人物 把车卖掉。 |深圳·深圳...,NONE
2412,深圳禁摩限电,顶着深圳的骂名，北京高调禁电摩，权力就是任性！,AGAINST
2413,深圳禁摩限电,【电动自行车几乎全超标 电动车出行再次引关注】前段时间，在深圳等地进行的堪称史上最严的禁摩限电专项整治行动一直让不少依靠电动车出行的市民心生忌惮，而通过记者调查发现，目前我国市场上的所有电动车几乎全超 http://t.cn/RqJnTdC,NONE
2414,深圳禁摩限电,【深大女生忘拔钥匙 保安贴条画画卖萌】13日，深圳大学一女生在微博上贴出保安为其画的漫画，众网友皆赞保安有心有才，还很萌。她说：“我总是忘记拔电摩钥匙，楼下保安亭保安帮我收了好几次，13日下午又忘了，发现保安贴了两张纸在电摩上。”有网友调侃说这字体……恶ξ意卖萌是犯法的！,
2415,深圳禁摩限电,东莞和深圳的差距：一份肠粉，东莞3块钱，深圳千4块钱（原关外）；一条路上，东莞除了机动车，看不到摩托车（包括电摩），深圳除了汽车、三轮摩托、二轮摩托、电摩、自行车，还有扭扭车，滑板车，只要是车，都在深圳路上跑。还有一种10个轮子的，旱冰鞋，穿在脚上，同样上路。,NONE
2416,深圳禁摩限电,深圳，深圳；你禁摩限电的精神干嘛不转换外来务工就业，今年过了四分之一还有多少人找不到工作得不到生活保障！广东省相关政府你干嘛去了？有没有考虑与关注外来务工人员情况！到了公交与地铁农民最后一站如何解决？ |深圳·坪山...,AGAINST
2417,深圳禁摩限电,挺好的。 支持！谁都不愿意看到拉客电动车横冲直撞。但是请务必做到区别对待，快递是民生。 ,FAVOR
2418,深圳禁摩限电,深圳禁摩背后是路权利益的博弈！这在全国应该只是开始。首先，政府懒政。鉴于大量电摩不规范，给予禁止的理由。其次，政府大力鼓励电动汽车政策。电动汽车150公里的续航，很鸡肋。远不及电摩来的实用，造成冲击。最后，比亚迪在深圳的影响。,AGAINST
2419,深圳禁摩限电,深圳禁摩限电，还不是某些领导的面子工程，他们代表的是一部份人的利益，只要给钱，扶持他们的反对派领导上位就可以了，政治是为经济服务的嘛。 ,AGAINST
2420,深圳禁摩限电,今天下午19:00多开车梅华路上西往东行，KFC送外卖的电动车，从梅中路直接飚到中间车道。我紧急刹车abs抱死轮胎，后车差点追尾。我说那电动车你这么危险骑车不怕撞死你啊？他很嚣张的说你来啊，你来啊……有本事你撞死我啊！！！@深圳交警 @深圳交警机动训练大队 支持禁摩限电 |深圳·梅林...,FAVOR
2421,深圳禁摩限电,不是禁摩限电吗？东滨路交通压力那么大但是摩托车、电动车照样跑也没人管！@深圳交警,FAVOR
2422,深圳禁摩限电,以后，有没有可能机动车上 驾驶电摩 等没有路权的车辆，驾驶者 当酒驾一样。拘留16天？@深圳交警 @广州交警,NONE
2423,深圳禁摩限电,深圳在《关于调整交通综合整治奖励项目及标准的通知》中明确“悬赏”：对无证驾驶、妨碍执法当事人实施行政拘留的，拘留一人奖励500元。政府部门的执法人员已经享有工资待遇，为什么一次正常的出勤执法需要加增这么多执法赏金，『媒体:深圳禁摩限电有法律依据吗_手机新浪网』http://t.cn/RqLakJh,AGAINST
2424,深圳禁摩限电,现在不是全深圳市都在禁摩限电吗，横岗的摩托车电动车电动三轮车载客现象很严重，而且还各种逆行，横冲直撞，为什么横岗没有开展行动？,FAVOR
2425,深圳禁摩限电,载着小孩还冲#禁摩限电# @深圳交警 @深圳宝安交警 |深圳·新安...,FAVOR
2426,深圳禁摩限电,电动货车上路就不占用道路资源了？政府缺乏对于三轮车的明确标准规定和交通规则上的规定，要让老百姓承担后果？这未免也太霸道了。。还是为人民服务的吗？,AGAINST
2427,深圳禁摩限电,深圳禁摩限电，说是为了民众安全，但电动车的死亡率多高？强行推出，是否违反了国家的立法法？深圳交警称电动车违章多禁止电动车那是找借口，过于牵强。9成以上的道路交通事故与汽车有关，汽车为何不禁行，制定这些政策的都是权贵，禁不禁和他们都没关系，谁让这些政府是为人民（币）服务呢？,AGAINST
